design,campaign,tree,cell,seconds
scale-400k,r4,base,panel_reg_cluster,.477
scale-400k,r4,base,rcs_reg,1.347
scale-400k,r4,base,unbal_reg_none,.417
scale-400k,r4,base,panel_reg_wboot,.5470000000000002
cell-design,r4,base,fast,.62
cell-design,r4,base,preg,1.05
cell-design,r4,base,pdr,1.921
cell-design,r4,base,unbal,1.007
cell-design,r4,base,rcs,1.946
inproc-50,r4,base,reg,.55
inproc-50,r4,base,dr,1.702
scale-400k,r4,s2,panel_reg_analytic,.422
scale-400k,r4,s2,panel_dr_cov,.831
scale-400k,r4,s2,panel_reg_cluster,.472
scale-400k,r4,s2,rcs_reg,1.209
scale-400k,r4,s2,unbal_reg_none,.418
scale-400k,r4,s2,panel_reg_wboot,.5489999999999999
cell-design,r4,s2,fast,.616
cell-design,r4,s2,preg,1.04
cell-design,r4,s2,pdr,1.927
cell-design,r4,s2,unbal,1.003
cell-design,r4,s2,rcs,1.884
inproc-50,r4,s2,reg,.5549999999999999
inproc-50,r4,s2,dr,1.715
scale-400k,r5,base,panel_reg_analytic,.422
scale-400k,r5,base,panel_dr_cov,.831
scale-400k,r5,base,panel_reg_cluster,.475
scale-400k,r5,base,rcs_reg,1.379
scale-400k,r5,base,unbal_reg_none,.42
scale-400k,r5,base,panel_reg_wboot,.5449999999999998
cell-design,r5,base,fast,.613
cell-design,r5,base,preg,1.044
cell-design,r5,base,pdr,1.923
cell-design,r5,base,unbal,.999
cell-design,r5,base,rcs,1.924
inproc-50,r5,base,reg,.554
inproc-50,r5,base,dr,1.715
scale-400k,r5,head,panel_reg_analytic,.42
scale-400k,r5,head,panel_dr_cov,.827
scale-400k,r5,head,panel_reg_cluster,.47
scale-400k,r5,head,rcs_reg,1.217
scale-400k,r5,head,unbal_reg_none,.413
scale-400k,r5,head,panel_reg_wboot,.5509999999999998
cell-design,r5,head,fast,.778
cell-design,r5,head,preg,1.05
cell-design,r5,head,pdr,1.934
cell-design,r5,head,unbal,1.006
cell-design,r5,head,rcs,1.891
inproc-50,r5,head,reg,.556
inproc-50,r5,head,dr,1.704
scale-400k,r5,s2,panel_reg_analytic,.421
scale-400k,r5,s2,panel_dr_cov,.8260000000000002
scale-400k,r5,s2,panel_reg_cluster,.467
scale-400k,r5,s2,rcs_reg,1.19
scale-400k,r5,s2,unbal_reg_none,.417
scale-400k,r5,s2,panel_reg_wboot,.544
cell-design,r5,s2,fast,.616
cell-design,r5,s2,preg,1.035
cell-design,r5,s2,pdr,1.921
cell-design,r5,s2,unbal,.999
cell-design,r5,s2,rcs,1.877
inproc-50,r5,s2,reg,.552
inproc-50,r5,s2,dr,1.729
scale-400k,r6,base,panel_reg_analytic,.416
scale-400k,r6,base,panel_dr_cov,.8299999999999998
scale-400k,r6,base,panel_reg_cluster,.468
scale-400k,r6,base,rcs_reg,1.352
scale-400k,r6,base,unbal_reg_none,.417
scale-400k,r6,base,panel_reg_wboot,.539
cell-design,r6,base,fast,.619
cell-design,r6,base,preg,1.049
cell-design,r6,base,pdr,1.916
cell-design,r6,base,unbal,1.009
cell-design,r6,base,rcs,1.918
inproc-50,r6,base,reg,.554
inproc-50,r6,base,dr,1.7
scale-400k,r6,s2,panel_reg_analytic,.418
scale-400k,r6,s2,panel_dr_cov,.8320000000000001
scale-400k,r6,s2,panel_reg_cluster,.464
scale-400k,r6,s2,rcs_reg,1.207
scale-400k,r6,s2,unbal_reg_none,.415
scale-400k,r6,s2,panel_reg_wboot,.5429999999999999
cell-design,r6,s2,fast,.623
cell-design,r6,s2,preg,1.051
cell-design,r6,s2,pdr,1.931
cell-design,r6,s2,unbal,1.001
cell-design,r6,s2,rcs,1.89
inproc-50,r6,s2,reg,.548
inproc-50,r6,s2,dr,1.728
scale-400k,r6,head,panel_reg_analytic,.42
